pred_len,backbone,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,normal_mse,normal_mae,n_eval_rows,status,error
48,TTM,Genesis,Genesis,0.23045778749308168,0.987316813238799,0.054645034751003935,0.9434916512059369,0.14879455015504206,0.7933884297520661,0.25804551800175446,0.14392506351600584,14525,ok,
48,TTM,LTDB_id_1,LTDB,0.6723897452390756,0.8679029516861168,0.5928471789019656,0.7974465930251956,0.5305048824996087,0.9873604948231814,0.5787015303790858,0.28553891195367137,98436,ok,
48,TTM,LTDB_id_2,LTDB,0.19708708488702853,0.5946527206454468,0.16714440269253905,0.5207467566940669,0.27172830724654573,0.6296467062417151,0.1424494623938042,0.25048350022293736,99522,ok,
48,TTM,LTDB_id_3,LTDB,0.6348358552231863,0.7399939552588549,0.6272809662120445,0.7168978619096623,0.5613056137351996,0.9684217394141058,0.19320388713869105,0.21131500717247348,99522,ok,
48,TTM,LTDB_id_4,LTDB,0.5346772081373359,0.785011550252396,0.5010959363608831,0.7343897456674138,0.4773921637049145,0.9328846742122974,0.15458710542813048,0.1994042561961929,98185,ok,
48,TTM,LTDB_id_5,LTDB,0.15853148946423365,0.53245150986726,0.21391215260997276,0.616802237437674,0.4370323419190581,0.875,0.4894586925942175,0.3600839633463453,94871,ok,
48,TTM,MITDB_id_1,MITDB,0.2778669502788869,0.6171288659706042,0.2822551529491866,0.6160706780094733,0.26991574377440664,1.0,0.06556908887720891,0.13354006199716417,138272,ok,
48,TTM,MITDB_id_10,MITDB,0.027901659428873425,0.6890125522200575,0.17476704891471317,0.6071082764983456,0.26165177303280396,0.6666666666666666,0.04588364669319865,0.11431202829174386,138272,ok,
48,TTM,MITDB_id_11,MITDB,0.20624930814111753,0.7948059118219623,0.4527452562144218,0.76622548241896,0.5198018421824357,1.0,0.057059918376554004,0.12321445433280828,584522,ok,
48,TTM,MITDB_id_12,MITDB,0.07206461332618573,0.7073473409309825,0.060372789584172866,0.6600633407803105,0.13341461378209513,0.5219961942732875,0.0879931062555261,0.13458735579706163,604522,ok,
48,TTM,MITDB_id_13,MITDB,0.030674600290752124,0.6204068878785979,0.030051037400957936,0.5534452992427517,0.0545435572190114,0.4868662398338813,0.11516365961329768,0.173127019349119,434522,ok,
48,TTM,MITDB_id_2,MITDB,0.007586044760119879,0.7029404470801545,0.1128575233880839,0.6784999128807568,0.19014521104549725,0.6821900566393958,0.035628405766992166,0.093396718018607,634522,ok,
48,TTM,MITDB_id_3,MITDB,0.02075055305866968,0.541836318315183,0.030655834458038267,0.48085298949325933,0.03604672936391842,0.5535469555570058,0.029301963819538708,0.08488125898092377,484522,ok,
48,TTM,MITDB_id_4,MITDB,0.05185995112335039,0.5407020889450973,0.05707679189441344,0.5127571892323735,0.1076726469352947,0.4789035731767009,0.05809363748096615,0.14121774297128992,284522,ok,
48,TTM,MITDB_id_5,MITDB,0.02012349612066275,0.8008771640692478,0.029727508006258174,0.7356996485269406,0.07052971570495419,1.0,0.0462161145678841,0.15243488989301746,92022,ok,
48,TTM,MITDB_id_6,MITDB,0.1043465681389823,0.8490532025571595,0.36418376431941846,0.8100437356920802,0.48147695402062507,1.0,0.07200400139545254,0.17884680292320243,184522,ok,
48,TTM,MITDB_id_7,MITDB,0.5956934827060402,0.8845269959995964,0.5965959921151234,0.8455284660647296,0.655070962762861,1.0,0.07943191533535524,0.1695784678759183,138272,ok,
48,TTM,MITDB_id_8,MITDB,0.18393257616904699,0.6214395982345439,0.19696642332500328,0.6188673242052963,0.24069083140817973,0.9774923312883436,0.06807714487888858,0.1486415329634004,390373,ok,
48,TTM,MITDB_id_9,MITDB,0.009776682137437999,0.7705649565419213,0.009419935420253576,0.7559308480083659,0.026630688143773534,0.46186666666666665,0.061014910695266274,0.1123601807107067,92022,ok,
48,TTM,MSL_id_1,MSL,0.014333257116196653,0.6602212779725523,0.0051003429271339155,0.3925210252302764,0.01270273938636607,0.039568345323741004,0.22943423085254105,0.09610175308913443,1349,ok,
48,TTM,MSL_id_10,MSL,0.8421166624149579,0.9692951022931825,0.6678286937551897,0.9402677190931774,0.759488726553935,1.0,15.440178425176637,0.31039528297260316,5164,ok,
48,TTM,MSL_id_11,MSL,0.4312770670337109,0.9238040321806857,0.3912821113457261,0.8627737226277372,0.5613985738353161,0.9351851851851852,0.1783143571838101,0.057519734434963686,1678,ok,
48,TTM,MSL_id_12,MSL,0.19591497877573769,0.9452748454764395,0.028148814566945263,0.8019195676586187,0.07204031423031064,0.18181818181818182,0.22954301863514176,0.05355130062991808,1740,ok,
48,TTM,MSL_id_13,MSL,0.8288364769363405,0.9589419433568115,0.7558260065844106,0.9257284575657191,0.8322532052312855,1.0,14.928779751231097,0.30355906273980626,5164,ok,
48,TTM,MSL_id_14,MSL,0.09584560687405637,0.3584103279990312,0.09438795692849916,0.3548577668178997,0.24346189552737751,0.8539007092198582,0.29071882591061937,0.06607973583789088,1825,ok,
48,TTM,MSL_id_15,MSL,0.589558386416746,0.9340474279208444,0.5977750662118956,0.9301774825783972,0.5786117891266069,0.9294605809128631,595.8326224241628,1.0434318126504287,618,ok,
48,TTM,MSL_id_16,MSL,0.08911644712347216,0.5095897446038793,0.07804043040112793,0.46347764619589016,0.17508589685085268,0.861904761904762,0.23188720539339955,0.0790275424209067,1571,ok,
48,TTM,MSL_id_2,MSL,0.6282110659299912,0.8958347609235698,0.6273524782333811,0.885077639669176,0.6420408910448331,1.0,0.16888339297320246,0.03331197719606361,2792,ok,
48,TTM,MSL_id_3,MSL,0.08190849632700282,0.293520309237506,0.061860940695296525,0.2310524036379385,0.11651310592375932,0.0971107544141252,0.2081170508284532,0.027957706113196118,1952,ok,
48,TTM,MSL_id_4,MSL,0.02542523498460747,0.5297386408234601,0.016038647093664277,0.4098167038638876,0.05035350892075884,0.37866666666666665,0.13172978052041587,0.030768791694635516,2687,ok,
48,TTM,MSL_id_5,MSL,0.1672936495619059,0.6463923452556192,0.1578397308900844,0.6407438717288619,0.27533919761648623,0.6356123215627348,0.3289013096064288,0.06180349427139416,4231,ok,
48,TTM,MSL_id_6,MSL,0.809797578563264,0.955324611617508,0.7222167503207245,0.8518776090098538,0.7727223763510445,1.0,0.15787839362602393,0.03148509117497599,3150,ok,
48,TTM,MSL_id_7,MSL,0.3918098952890499,0.8765763745956389,0.14551574168545517,0.7373347129901436,0.33922641593896014,0.6558345642540621,0.4494010269524553,0.08024493885888428,2147,ok,
48,TTM,MSL_id_8,MSL,0.7346546746134598,0.9463451579941973,0.11065248086011371,0.6267573696145126,0.3582046514217254,0.6461538461538462,0.19923076694885078,0.04127401332739584,2378,ok,
48,TTM,MSL_id_9,MSL,0.2494733767189705,0.9444076263413929,0.1583441721805227,0.9035233314441475,0.33120676197310683,0.8214285714285714,0.23827917486130862,0.060259548334446716,1739,ok,
48,TTM,OPPORTUNITY_id_1,OPPORTUNITY,0.0182352749388976,0.1795295778209212,0.017042147824597363,0.16527974268639348,0.05891428358032095,0.12741892727754706,3501997.9146963255,43.092490654466026,23674,ok,
48,TTM,OPPORTUNITY_id_2,OPPORTUNITY,0.06275336481342643,0.2379442797156128,0.06037784840281327,0.23572444011109409,0.1789718487814112,0.16660746003552399,3659675.609896746,39.39821243273804,4370,ok,
48,TTM,OPPORTUNITY_id_3,OPPORTUNITY,0.017162011863527792,0.6619888503342998,0.016400932693811876,0.6602369964426497,0.05618879495038042,0.02324352879027998,3.1196572379080325,0.42254878734297385,25483,ok,
48,TTM,OPPORTUNITY_id_4,OPPORTUNITY,0.04192490070194089,0.4215628357576401,0.037248874173131635,0.38488448285165855,0.09609386364354024,0.3967391304347826,5330156.597636964,57.04195877798558,8576,ok,
48,TTM,OPPORTUNITY_id_5,OPPORTUNITY,0.6768127744895807,0.9710940859296314,0.5989413817854554,0.9655141025641025,0.6755949574679022,1.0,11.668301612228593,0.40796552789467405,5978,ok,
48,TTM,OPPORTUNITY_id_6,OPPORTUNITY,0.016081716035584163,0.2785953623479934,0.01440783632109803,0.23837653395621253,0.043810505713731906,0.20543981481481483,4605405.410510197,55.37762816525533,15593,ok,
48,TTM,OPPORTUNITY_id_7,OPPORTUNITY,0.030017462821914306,0.306367101550026,0.02382588716441534,0.2424040979062627,0.07327708678510142,0.6350931677018633,3371695.3925160426,40.59468269254058,20602,ok,
48,TTM,OPPORTUNITY_id_8,OPPORTUNITY,0.014525176280569894,0.132856800397663,0.013451024012824015,0.16614157303370786,0.04706810988808012,0.08587177255584566,3478676.2718771966,39.843537485345,26042,ok,
48,TTM,PSM,PSM,0.11529603295485474,0.5029687009244644,0.09834542014405197,0.46607301441559007,0.206104899293707,0.6632197844936057,0.15591091022844022,0.20616466731186966,202146,ok,
48,TTM,SMAP_id_1,SMAP,0.9779106714578484,0.9880339575708443,0.973017447148856,0.9845847689200429,0.976401535087232,1.0,0.409420418203883,0.12758720389536596,7115,ok,
48,TTM,SMAP_id_10,SMAP,0.01896235616900477,0.7630759537890334,0.006013316912224071,0.5584866053578569,0.0170587483737844,0.06850459482038429,0.7519244330483922,0.18823834720555468,6331,ok,
48,TTM,SMAP_id_11,SMAP,0.01291026886006368,0.41939472552414103,0.01136880924904093,0.38300310461851605,0.028172015612572498,0.3002481389578164,0.8129640490148287,0.19849863042793017,7355,ok,
48,TTM,SMAP_id_12,SMAP,0.6783871370467631,0.8382361751123709,0.710090620838134,0.8276285042194257,0.8275813555575708,1.0,1.200668693210702,0.20149614476058367,6577,ok,
48,TTM,SMAP_id_13,SMAP,0.9565331309893604,0.9822643405112917,0.8073834253280148,0.8693303258399439,0.8181769447604333,1.0,792.3635880430775,3.3129290032448324,3863,ok,
48,TTM,SMAP_id_14,SMAP,0.0688307818581163,0.6162729863402572,0.054409867049748956,0.560268865235684,0.14006127752096303,0.9121813031161473,0.35443180476869857,0.0945996296307227,7389,ok,
48,TTM,SMAP_id_15,SMAP,0.9609182966217636,0.9981417290753423,0.9167070785262584,0.9789591935875639,0.9523759637449517,1.0,0.3834975254246159,0.10529428055293799,7199,ok,
48,TTM,SMAP_id_16,SMAP,0.5620991055804608,0.8160872796197305,0.5486828332206212,0.7931179592350333,0.7283901146841435,0.950354609929078,0.03592581071198275,0.006180406148785551,6023,ok,
