dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.091992,0.505734,0.123252,0.564147,0.159463,0.281518,0.108291,0.126619
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.062221,0.557653,0.059922,0.556613,0.113067,0.112890,0.034362,0.071141
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.111563,0.985646,0.079443,0.966278,0.152171,0.543210,0.297033,0.172741
139_CATSv2_id_2_Sensor_tr_5592_1st_5692,0.031671,0.281191,0.027279,0.412393,0.068502,0.068719,0.531848,0.317046
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.009721,0.491678,0.009216,0.490155,0.018263,0.018235,0.038199,0.075343
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.008208,0.282672,0.007945,0.281843,0.015791,0.011612,0.042916,0.087322
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.009421,0.355791,0.009018,0.354537,0.017874,0.017839,0.032560,0.070517
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.014638,0.490797,0.012073,0.497331,0.030806,0.030719,0.041984,0.087505
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.015904,0.394394,0.015140,0.393371,0.029828,0.029790,0.041816,0.084241
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.034450,0.538269,0.032784,0.537873,0.063487,0.063425,0.039688,0.081073
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.011929,0.575054,0.011331,0.574691,0.022408,0.022376,0.037854,0.079299
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.016828,0.550800,0.018224,0.622621,0.069361,0.670270,0.519887,0.389864
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.024316,0.603825,0.023038,0.602271,0.045039,0.044977,0.038516,0.076743
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.052990,0.685947,0.042440,0.691112,0.104685,0.104672,0.036058,0.072404
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.012671,0.321091,0.012286,0.325702,0.031323,0.032871,0.034705,0.074198
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.025138,0.446808,0.023741,0.446059,0.046380,0.046289,0.041859,0.080059
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.038044,0.684588,0.173495,0.588297,0.251493,0.666667,0.105618,0.182739
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.088034,0.653050,0.076143,0.654506,0.159741,0.159715,0.036341,0.073789
