dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.004700,0.175673,0.003194,0.140576,0.011839,0.059350,0.013211,0.021325
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.012950,0.788472,0.003294,0.568698,0.008939,0.018626,0.290818,0.195220
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.004149,0.029903,0.002435,0.004117,0.009663,0.009663,0.015451,0.025406
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.004788,0.257490,0.003114,0.217794,0.010039,0.129608,0.015952,0.024406
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.010507,0.212028,0.008765,0.177264,0.030953,0.233602,0.015231,0.026358
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.006684,0.136919,0.004980,0.103306,0.019007,0.080621,0.014674,0.022783
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.009025,0.169020,0.007204,0.129911,0.026767,0.132692,0.015392,0.024294
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.011591,0.173489,0.010019,0.146976,0.036655,0.248892,0.013588,0.021638
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.007905,0.252538,0.006617,0.219712,0.022572,0.188475,0.015911,0.025060
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.020640,0.226961,0.018475,0.199456,0.062887,0.251321,0.014284,0.025916
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.006669,0.310032,0.005387,0.278557,0.016807,0.147359,0.016061,0.026251
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.006150,0.140391,0.004848,0.105801,0.018487,0.024101,0.016294,0.024373
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.004777,0.188362,0.003182,0.153301,0.011612,0.081982,0.016363,0.025055
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.421496,0.765559,0.425801,0.731994,0.468149,0.787927,0.100158,0.089420
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.006098,0.496868,0.005863,0.566682,0.013411,0.071546,0.190207,0.272451
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.008155,0.260773,0.006965,0.229531,0.023591,0.112942,0.014873,0.027673
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.034624,0.775734,0.129911,0.692239,0.217233,0.666667,0.047451,0.137981
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.028372,0.876998,0.038055,0.806431,0.057138,1.000000,0.018852,0.102813
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.249080,0.691564,0.285178,0.679263,0.301012,0.760192,0.096363,0.088826
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.113739,0.914264,0.310203,0.892584,0.479016,1.000000,0.062385,0.167568
137_CreditCard_id_1_Finance_tr_500_1st_541,0.034459,0.709955,0.004548,0.613781,0.020371,0.023641,1.349945,0.748506
