dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.006486,0.281871,0.006263,0.254621,0.014680,0.245618,0.012623,0.014321
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.313386,0.658483,0.335026,0.621533,0.387005,0.939747,0.108875,0.104007
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.007629,0.369001,0.007398,0.355301,0.014687,0.014637,0.019920,0.043524
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.011195,0.822439,0.004981,0.712330,0.013526,0.032218,0.276516,0.202587
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.007923,0.453888,0.007730,0.433963,0.016590,0.228746,0.013765,0.010607
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.015629,0.448436,0.015211,0.429779,0.031364,0.330208,0.014931,0.020807
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.023383,0.418533,0.022708,0.401657,0.048058,0.453483,0.034327,0.072581
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.026546,0.511897,0.025758,0.498267,0.067168,0.466693,0.015273,0.028744
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.009483,0.394268,0.009102,0.372411,0.024611,0.144320,0.029863,0.069395
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.011102,0.234914,0.010798,0.208133,0.022438,0.106408,0.014438,0.012549
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.018705,0.367701,0.018100,0.342908,0.037898,0.344895,0.027729,0.060650
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.010006,0.247314,0.009594,0.220034,0.025361,0.351799,0.013990,0.020916
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.005731,0.236950,0.005459,0.207440,0.013426,0.308017,0.016113,0.025319
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.048841,0.487942,0.047860,0.474098,0.108486,0.639606,0.014295,0.016784
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.011157,0.576418,0.011461,0.630712,0.050490,0.366399,0.302489,0.319711
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.165273,0.664719,0.198956,0.689639,0.214682,0.831290,0.120373,0.134655
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.012708,0.371567,0.012255,0.349092,0.033040,0.222773,0.024908,0.053408
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.018124,0.750083,0.047421,0.671997,0.094113,0.666667,0.010103,0.076566
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.016994,0.817171,0.011965,0.728607,0.033479,0.347144,0.012233,0.082663
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.049600,0.866012,0.166582,0.827196,0.221660,1.000000,0.046690,0.148467
002_MSL_id_1_Sensor_tr_500_1st_900,0.083557,0.943138,0.022393,0.781538,0.061537,0.323529,0.195613,0.101675
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.055493,0.769365,0.041389,0.752193,0.131691,0.159951,23141.522688,11.851873
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.013884,0.835796,0.012810,0.818605,0.032783,0.733277,0.023544,0.105634
013_MSL_id_12_Sensor_tr_554_1st_1200,0.125001,0.930840,0.041153,0.814755,0.122134,0.626506,0.168045,0.064316
012_MSL_id_11_Sensor_tr_539_1st_940,0.678993,0.960244,0.383144,0.859811,0.417717,1.000000,0.146976,0.076600
015_MSL_id_14_Sensor_tr_575_1st_1250,0.188270,0.599127,0.184972,0.589410,0.293242,1.000000,0.229130,0.080354
016_MSL_id_15_Sensor_tr_500_1st_780,0.311435,0.852044,0.269428,0.857556,0.498808,0.771429,1591.506604,3.667018
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.070635,0.767737,0.055195,0.745438,0.169247,0.212691,12418.097874,8.634404
017_MSL_id_16_Sensor_tr_512_1st_1850,0.941649,0.997887,0.763521,0.990364,0.952627,0.952632,15.560917,0.211258
003_MSL_id_2_Sensor_tr_883_1st_1238,0.167243,0.736552,0.147314,0.701436,0.248644,0.915663,0.142673,0.047761
