dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.016539,0.150893,0.014654,0.122991,0.053992,0.348323,0.023680,0.041487
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.014789,0.836559,0.003996,0.596074,0.012782,0.036697,0.338759,0.256656
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.004148,0.028979,0.002435,0.003518,0.009663,0.009663,0.025750,0.039969
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.004287,0.205872,0.002765,0.164529,0.010039,0.131372,0.023575,0.037882
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.010281,0.200670,0.008583,0.164999,0.030953,0.328030,0.025589,0.041804
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.011610,0.168994,0.009978,0.142220,0.036655,0.281740,0.026837,0.040062
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.006792,0.134417,0.004974,0.100609,0.019007,0.147406,0.023411,0.039951
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.009035,0.168775,0.007197,0.129496,0.026767,0.174046,0.030305,0.044165
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.007747,0.241913,0.006498,0.208931,0.022572,0.246611,0.027227,0.045986
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.020325,0.217650,0.018226,0.190058,0.062879,0.486949,0.025242,0.040713
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.004724,0.179601,0.003138,0.144058,0.011612,0.164693,0.027381,0.040822
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.006265,0.280562,0.005067,0.248528,0.016807,0.092946,0.023772,0.042110
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.006138,0.138333,0.004842,0.103451,0.018487,0.038344,0.023689,0.039001
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.396155,0.749832,0.395707,0.715872,0.429197,0.782940,0.094047,0.086142
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.005331,0.467385,0.005064,0.527896,0.011591,0.065092,0.340345,0.325551
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.008127,0.251236,0.006873,0.219611,0.023588,0.150137,0.027370,0.045523
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.271954,0.721748,0.307180,0.709725,0.320292,0.746643,0.088447,0.085791
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.027273,0.770395,0.061080,0.682956,0.174022,0.663584,0.064646,0.159983
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.033292,0.871553,0.076246,0.809260,0.111331,1.000000,0.041682,0.137106
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.176395,0.904642,0.425000,0.876802,0.555200,1.000000,0.078948,0.181094
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.097531,0.826120,0.201642,0.777599,0.263356,1.000000,0.081636,0.155586
002_MSL_id_1_Sensor_tr_500_1st_900,0.020444,0.772833,0.006771,0.545054,0.019704,0.044715,0.199648,0.097018
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.240845,0.933133,0.143129,0.881285,0.393009,0.635922,336.738697,0.578545
012_MSL_id_11_Sensor_tr_539_1st_940,0.520340,0.946536,0.177787,0.840471,0.342565,0.980583,0.161803,0.069681
