dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
051_GHL_id_20_Sensor_tr_50000_1st_75110,0.003726,0.248150,0.003468,0.217094,0.012016,0.040288,0.013211,0.021325
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.087668,0.970698,0.027761,0.916168,0.087670,0.154589,0.290818,0.195220
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.003104,0.203696,0.002836,0.181060,0.010415,0.009663,0.015451,0.025406
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.004176,0.428442,0.003813,0.400390,0.012367,0.079305,0.015952,0.024406
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.447650,0.763883,0.451739,0.728462,0.501476,0.747570,0.100158,0.089420
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.411435,0.791565,0.437867,0.781942,0.463436,0.661976,0.096363,0.088826
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.013474,0.327046,0.012359,0.305900,0.043954,0.396804,0.013588,0.021638
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.006336,0.244062,0.005637,0.215913,0.020866,0.105095,0.014674,0.022783
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.009671,0.335390,0.008865,0.304955,0.029474,0.427056,0.015392,0.024294
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.010304,0.233989,0.009207,0.201578,0.031627,0.415414,0.015231,0.026358
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.008780,0.393756,0.008124,0.368411,0.025340,0.242719,0.015911,0.025060
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.003996,0.286879,0.003646,0.259474,0.013053,0.011612,0.016363,0.025055
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.007170,0.319781,0.006345,0.293236,0.020746,0.220538,0.016294,0.024373
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.006716,0.399599,0.006120,0.373551,0.019393,0.071903,0.016061,0.026251
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.029298,0.474505,0.027313,0.453899,0.079695,0.479439,0.014284,0.025916
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.006125,0.502311,0.005868,0.568637,0.013217,0.074423,0.190207,0.272451
040_GHL_id_9_Sensor_tr_50000_1st_92001,0.009053,0.386405,0.008425,0.362889,0.026184,0.260779,0.014873,0.027673
028_MITDB_id_10_Medical_tr_37500_1st_39948,0.034770,0.777172,0.154723,0.695799,0.246681,0.666667,0.047451,0.137981
023_MITDB_id_5_Medical_tr_25000_1st_36913,0.038635,0.899074,0.064711,0.823664,0.077775,1.000000,0.018852,0.102813
137_CreditCard_id_1_Finance_tr_500_1st_541,0.038220,0.726183,0.005079,0.620586,0.024535,0.028860,1.349945,0.748506
002_MSL_id_1_Sensor_tr_500_1st_900,0.055189,0.873888,0.007244,0.555517,0.017241,0.117021,0.183436,0.087035
011_MSL_id_10_Sensor_tr_1525_1st_4590,0.257911,0.937264,0.143109,0.890169,0.382018,0.682292,290.589907,0.544324
027_MITDB_id_9_Medical_tr_25000_1st_52255,0.020715,0.790421,0.026505,0.753076,0.058081,0.998847,0.044440,0.111426
012_MSL_id_11_Sensor_tr_539_1st_940,0.460829,0.961622,0.343473,0.894105,0.447649,0.975845,0.146300,0.053447
013_MSL_id_12_Sensor_tr_554_1st_1200,0.046083,0.837491,0.020782,0.731541,0.062499,0.412698,0.160812,0.047215
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.190699,0.927358,0.350012,0.906685,0.489322,1.000000,0.062385,0.167568
016_MSL_id_15_Sensor_tr_500_1st_780,0.283669,0.814358,0.241944,0.827104,0.498808,0.677824,1854.685722,4.602856
015_MSL_id_14_Sensor_tr_575_1st_1250,0.242338,0.727326,0.235143,0.718506,0.402915,0.993399,0.223694,0.064806
014_MSL_id_13_Sensor_tr_1525_1st_4575,0.456039,0.933518,0.238608,0.886647,0.494965,0.932990,118.782236,0.392158
003_MSL_id_2_Sensor_tr_883_1st_1238,0.130485,0.772922,0.114255,0.741324,0.302121,0.613728,0.138111,0.036444
017_MSL_id_16_Sensor_tr_512_1st_1850,0.315260,0.780880,0.233642,0.694308,0.304972,1.000000,0.193863,0.071597
004_MSL_id_3_Sensor_tr_530_1st_630,0.113357,0.431029,0.078725,0.422910,0.145958,0.144823,0.151501,0.025277
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.129153,0.480456,0.119018,0.468989,0.200679,0.926616,0.231154,0.042076
005_MSL_id_4_Sensor_tr_855_1st_2700,0.132605,0.907690,0.055405,0.820197,0.126339,0.642534,0.114191,0.035396
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.422865,0.945968,0.356469,0.899645,0.431389,0.840456,0.033951,0.115292
010_MSL_id_9_Sensor_tr_554_1st_1172,0.096140,0.838838,0.078380,0.803457,0.151078,0.985714,0.184817,0.057375
009_MSL_id_8_Sensor_tr_714_1st_1390,0.160643,0.892796,0.012390,0.548837,0.055298,0.187500,0.188255,0.031142
007_MSL_id_6_Sensor_tr_980_1st_3550,0.737185,0.945567,0.296117,0.792194,0.568910,0.917933,0.109624,0.027006
008_MSL_id_7_Sensor_tr_656_1st_1630,0.473809,0.916812,0.348072,0.890833,0.474882,0.948113,0.410359,0.072693
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.088810,0.449409,0.084771,0.441237,0.207490,0.166607,14168785.701245,97.755115
079_LTDB_id_1_Medical_tr_3618_1st_3718,0.634565,0.934778,0.459987,0.877332,0.574699,0.815273,1.318222,0.626035
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.051305,0.456978,0.044081,0.414070,0.107368,0.509006,27552649.248099,179.875931
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.795778,0.978256,0.754144,0.973212,0.661649,1.000000,17.596509,0.522574
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.020250,0.229464,0.019449,0.268655,0.058002,0.283092,20665298.639364,124.360679
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.009058,0.330270,0.008307,0.321741,0.027212,0.023244,3.309568,0.432237
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.016729,0.215770,0.015185,0.178902,0.043905,0.042089,13612012.529734,114.167674
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.179626,0.969278,0.108127,0.882210,0.185895,1.000000,0.583005,0.184602
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.857203,0.977816,0.853167,0.975438,0.890751,1.000000,0.486522,0.128094
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.126280,0.753970,0.129870,0.742044,0.282823,0.953271,3.044330,0.218918
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.071432,0.877499,0.051951,0.816711,0.129115,0.028176,0.612070,0.184224
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.029166,0.303189,0.025868,0.258318,0.074526,0.609720,13577757.158655,100.568737
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.154839,0.953482,0.075520,0.875134,0.245712,0.351724,31931.758325,7.137587
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.015393,0.178655,0.014698,0.226089,0.045613,0.105039,12549647.081952,94.430987
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.063334,0.580313,0.054501,0.557634,0.177809,0.449275,0.050675,0.013987
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.296851,0.986182,0.316221,0.963700,0.359278,1.000000,5.454016,0.156928
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.578079,0.913167,0.821701,0.908602,0.880541,0.913997,0.293561,0.100590
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.166671,0.824021,0.153316,0.799596,0.340148,0.115197,0.303889,0.130205
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.842667,0.899115,0.830433,0.878337,0.890277,1.000000,0.306841,0.111681
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.134635,0.921300,0.113875,0.903736,0.237533,0.044338,0.669098,0.180984
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.766706,0.916228,0.741372,0.903912,0.721867,1.000000,0.278192,0.101371
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.083092,0.900250,0.039307,0.733426,0.136981,0.898551,0.145419,0.021230
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.061954,0.782636,0.048309,0.769232,0.186967,0.242604,2070.593101,1.980751
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.113113,0.921577,0.031511,0.741621,0.101805,0.406375,0.541051,0.160611
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.551349,0.759447,0.611328,0.729829,0.722008,0.968528,0.273740,0.101775
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.218013,0.978833,0.102505,0.924506,0.231879,0.942529,0.254127,0.088317
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.104765,0.785393,0.032181,0.675634,0.173181,0.447514,0.000001,0.000550
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.057605,0.520456,0.041480,0.543235,0.157115,0.687075,0.007244,0.007704
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.072040,0.738933,0.021403,0.568317,0.082070,0.899471,0.719180,0.187568
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.693775,0.952571,0.801460,0.929207,0.874547,0.905380,0.294524,0.104931
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.012148,0.434761,0.010239,0.378290,0.027647,0.027626,0.566561,0.184326
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.301645,0.940631,0.088001,0.838414,0.306247,0.478114,0.000525,0.000859
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.470297,0.651437,0.536804,0.620106,0.659766,0.954260,0.300625,0.103691
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.125389,0.725697,0.064440,0.495441,0.175434,0.952941,3.369198,0.236179
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.891124,0.972046,0.811262,0.951162,0.877188,1.000000,0.288513,0.109925
082_LTDB_id_4_Medical_tr_4456_1st_4556,0.532684,0.878628,0.390073,0.788306,0.474453,0.924697,0.152707,0.207131
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.953378,0.987954,0.951316,0.984464,0.967841,1.000000,0.282484,0.108551
066_SMD_id_10_Facility_tr_2634_1st_2734,0.402671,0.810129,0.679177,0.808366,0.752508,0.891662,1.314622,0.398441
067_SMD_id_11_Facility_tr_1980_1st_2080,0.036217,0.364882,0.034889,0.348284,0.093937,0.091066,2.709129,0.356969
068_SMD_id_12_Facility_tr_1099_1st_1199,0.123803,0.622489,0.161375,0.783824,0.292478,0.446903,174.677673,0.510993
057_SMD_id_1_Facility_tr_4529_1st_4629,0.119687,0.814789,0.135352,0.819838,0.235467,0.402010,0.720235,0.304573
073_SMD_id_17_Facility_tr_5926_1st_10620,0.038344,0.866839,0.041023,0.849875,0.099287,0.373333,21.304104,0.474833
071_SMD_id_15_Facility_tr_1109_1st_1209,0.174789,0.662116,0.259212,0.842344,0.353484,0.547046,21.665107,0.418444
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.095531,0.630302,0.108318,0.590503,0.135859,0.741328,0.561779,0.343181
070_SMD_id_14_Facility_tr_1070_1st_1170,0.151297,0.796627,0.127511,0.788850,0.209735,0.514650,17.126116,0.396743
069_SMD_id_13_Facility_tr_5925_1st_12760,0.202977,0.716186,0.150172,0.650440,0.304060,0.633505,6.516284,0.362328
074_SMD_id_18_Facility_tr_7174_1st_21230,0.483640,0.942075,0.195681,0.782663,0.289650,0.730627,4.360260,0.234191
076_SMD_id_20_Facility_tr_5925_1st_17580,0.400702,0.985156,0.480849,0.983675,0.553341,1.000000,19.362566,0.249775
059_SMD_id_3_Facility_tr_757_1st_857,0.032363,0.619986,0.023116,0.646815,0.091166,0.039841,13317.339050,2.527809
058_SMD_id_2_Facility_tr_1087_1st_1187,0.325512,0.879144,0.243203,0.907789,0.359712,0.656782,2.606748,0.310590
072_SMD_id_16_Facility_tr_7119_1st_15849,0.625899,0.930627,0.622636,0.957496,0.703848,0.334138,5114.126390,1.294725
077_SMD_id_21_Facility_tr_3026_1st_3126,0.242387,0.888525,0.114796,0.845923,0.226231,0.111745,25.461041,0.364103
075_SMD_id_19_Facility_tr_564_1st_664,0.087407,0.699581,0.047869,0.793232,0.117559,0.606897,881.600165,1.024031
060_SMD_id_4_Facility_tr_7176_1st_10609,0.645555,0.985027,0.590180,0.956101,0.634533,0.853881,21.383096,0.235936
080_LTDB_id_2_Medical_tr_500_1st_266,0.161339,0.491185,0.119051,0.401820,0.258702,0.446122,0.499388,0.504761
078_SMD_id_22_Facility_tr_500_1st_326,0.088219,0.571070,0.056424,0.632273,0.165152,0.094437,9938.922849,3.002246
061_SMD_id_5_Facility_tr_7176_1st_15144,0.137984,0.796301,0.165883,0.794701,0.218878,0.374864,4.752713,0.351424
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.246427,0.741228,0.254434,0.737591,0.299823,0.960731,0.169629,0.203152
064_SMD_id_8_Facility_tr_2272_1st_2372,0.265046,0.885683,0.166282,0.815997,0.302855,0.198770,41.076771,0.362422
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.231549,0.900646,0.239216,0.875439,0.501614,0.917672,0.051047,0.100513
062_SMD_id_6_Facility_tr_7180_1st_15131,0.613834,0.962907,0.552430,0.964141,0.703244,0.882018,500.779415,0.609001
063_SMD_id_7_Facility_tr_5923_1st_6506,0.393058,0.896819,0.294750,0.849712,0.513899,0.765454,0.460453,0.330893
065_SMD_id_9_Facility_tr_737_1st_837,0.161793,0.612897,0.137624,0.613120,0.236673,0.183797,18.765253,0.390337
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.609036,0.979710,0.358614,0.921739,0.533328,0.956962,0.074258,0.171668
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.013852,0.808350,0.019324,0.782918,0.070791,0.894108,0.032907,0.113545
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.366123,0.915823,0.260883,0.843846,0.360355,0.946242,0.026575,0.088669
115_PSM_id_1_Facility_tr_50000_1st_129872,0.120759,0.500800,0.101263,0.482090,0.201927,0.543549,0.148766,0.204215
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.051460,0.727075,0.058676,0.632052,0.071861,0.790788,0.034648,0.116711
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.041191,0.692713,0.026966,0.609240,0.067554,0.577730,0.164608,0.230967
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.060527,0.758882,0.063994,0.679503,0.102662,0.798066,0.019808,0.094836
081_LTDB_id_3_Medical_tr_500_1st_26,0.584132,0.751169,0.485338,0.676989,0.534863,0.900315,0.747366,0.528978
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.261841,0.899249,0.276902,0.895673,0.395043,0.989364,0.102424,0.177458
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.082522,0.946284,0.090795,0.939072,0.199010,0.992658,0.093957,0.184812
096_SVDB_id_13_Medical_tr_500_1st_444,0.070652,0.731520,0.049800,0.639784,0.104416,0.673852,0.623381,0.435596
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.100291,0.853656,0.074712,0.793041,0.145273,0.921722,0.060576,0.146846
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.058664,0.695077,0.040955,0.606260,0.082090,0.557971,0.347403,0.331780
103_SVDB_id_20_Medical_tr_12167_1st_12267,0.062608,0.759663,0.043619,0.678741,0.103603,0.527583,0.272971,0.232114
101_SVDB_id_18_Medical_tr_1851_1st_1951,0.209204,0.771416,0.151555,0.691132,0.242648,0.772662,0.927680,0.564616
108_SVDB_id_25_Medical_tr_1238_1st_1338,0.189725,0.865271,0.170872,0.828975,0.252891,0.724815,0.492517,0.358060
085_SVDB_id_2_Medical_tr_50000_1st_54982,0.083706,0.768679,0.060927,0.685177,0.129788,0.712874,0.112125,0.172673
098_SVDB_id_15_Medical_tr_500_1st_303,0.171514,0.716848,0.112433,0.615459,0.181076,0.615591,1.213258,0.740729
093_SVDB_id_10_Medical_tr_500_1st_37,0.190169,0.719496,0.125343,0.612327,0.184708,0.709279,0.418647,0.403807
107_SVDB_id_24_Medical_tr_32805_1st_32905,0.193662,0.861408,0.133725,0.761324,0.191681,0.871375,0.056294,0.149883
114_SVDB_id_31_Medical_tr_25000_1st_63090,0.017381,0.796858,0.015044,0.758011,0.038878,0.833194,0.045542,0.128258
105_SVDB_id_22_Medical_tr_500_1st_417,0.194300,0.761608,0.125038,0.658606,0.239152,0.794869,0.592871,0.505138
019_MITDB_id_1_Medical_tr_37500_1st_103211,0.406661,0.812201,0.411839,0.810899,0.433818,1.000000,0.202498,0.176051
112_SVDB_id_29_Medical_tr_8226_1st_8326,0.017706,0.630672,0.013065,0.544520,0.026637,0.694154,0.291004,0.329096
090_SVDB_id_7_Medical_tr_12157_1st_12257,0.313220,0.830369,0.236653,0.770730,0.381558,0.959272,0.060120,0.121292
171_SWaT_id_1_Sensor_tr_3749_1st_9522,0.330888,0.743416,0.253957,0.681314,0.381157,0.347991,304.461957,0.317156
110_SVDB_id_27_Medical_tr_30824_1st_30924,0.117791,0.848105,0.087067,0.781695,0.197613,0.753988,0.048217,0.125828
113_SVDB_id_30_Medical_tr_4552_1st_4652,0.197437,0.764147,0.193275,0.769179,0.279995,0.789634,0.416425,0.338687
089_SVDB_id_6_Medical_tr_50000_1st_83083,0.043827,0.837336,0.038660,0.815841,0.075718,0.839875,0.151381,0.205348
099_SVDB_id_16_Medical_tr_1115_1st_1215,0.229052,0.777109,0.154491,0.720177,0.251555,0.467554,1.661995,0.776825
030_MITDB_id_12_Medical_tr_50000_1st_84572,0.072013,0.690801,0.050869,0.600543,0.107089,0.628415,0.056737,0.155877
086_SVDB_id_3_Medical_tr_533_1st_633,0.149937,0.739566,0.094189,0.633729,0.191779,0.535895,0.473715,0.400966
