dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
049_GHL_id_18_Sensor_tr_50000_1st_109001,0.018140,0.234760,0.016849,0.210607,0.055827,0.555390,0.023771,0.028974
052_GHL_id_21_Sensor_tr_50000_1st_98001,0.003151,0.224512,0.002926,0.201558,0.010159,0.009663,0.032044,0.032320
001_Genesis_id_1_Sensor_tr_4055_1st_15538,0.074429,0.926596,0.015935,0.825671,0.063895,0.270833,0.410052,0.239481
142_CATSv2_id_5_Sensor_tr_30704_1st_30804,0.362837,0.750454,0.390260,0.718674,0.444988,0.604717,0.163870,0.170044
140_CATSv2_id_3_Sensor_tr_28307_1st_28407,0.354148,0.754486,0.363892,0.742806,0.429588,0.770553,0.195958,0.199739
137_CreditCard_id_1_Finance_tr_500_1st_541,0.036068,0.675764,0.004329,0.614193,0.026173,0.026490,1.361481,0.750029
034_GHL_id_3_Sensor_tr_50000_1st_122001,0.007479,0.400646,0.006922,0.373448,0.022516,0.060190,0.027722,0.030459
055_GHL_id_24_Sensor_tr_50000_1st_118124,0.003957,0.329681,0.003335,0.297165,0.011298,0.053310,0.031449,0.033384
056_GHL_id_25_Sensor_tr_50000_1st_105568,0.011224,0.334087,0.010307,0.306161,0.032481,0.369139,0.038645,0.030172
035_GHL_id_4_Sensor_tr_50000_1st_90001,0.011195,0.412929,0.010176,0.384076,0.034806,0.256314,0.036883,0.036881
038_GHL_id_7_Sensor_tr_50000_1st_100001,0.008324,0.520855,0.007603,0.500422,0.022554,0.153609,0.039411,0.036329
053_GHL_id_22_Sensor_tr_50000_1st_126448,0.038233,0.592686,0.035488,0.575112,0.107716,0.563763,0.026006,0.028896
037_GHL_id_6_Sensor_tr_50000_1st_80001,0.008439,0.454593,0.007680,0.429615,0.026336,0.079846,0.036233,0.035168
036_GHL_id_5_Sensor_tr_50000_1st_67147,0.007963,0.321085,0.007325,0.293171,0.023338,0.211081,0.040486,0.034568
054_GHL_id_23_Sensor_tr_50000_1st_135001,0.017919,0.506177,0.016633,0.484508,0.048110,0.275126,0.033743,0.032778
039_GHL_id_8_Sensor_tr_50000_1st_63030,0.003956,0.298730,0.003677,0.271537,0.012800,0.011612,0.029766,0.032108
083_LTDB_id_5_Medical_tr_15502_1st_15602,0.006808,0.531567,0.006635,0.576747,0.018487,0.082220,0.491155,0.436471
