pred_len,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1
96,CATSv2_id_1,CATSv2,0.1969160903936257,0.7647715536824577,0.1859216366031212,0.7438589387755102,0.318252364327642,0.2608695652173913
192,CATSv2_id_1,CATSv2,0.0815904358124651,0.6862896732175716,0.0742205161923385,0.6623763928571429,0.1657238949525964,0.6066120715802245
96,CATSv2_id_2,CATSv2,0.1702020554737903,0.776559598205372,0.226081937303032,0.7754723890979861,0.2678931751986786,0.7258430364433691
192,CATSv2_id_2,CATSv2,0.1797984194865564,0.773692447148396,0.24756311969099,0.7856497913047674,0.3000718916487653,0.7528821268920085
96,CATSv2_id_3,CATSv2,0.4114346755960945,0.7915646688751968,0.4378669845161996,0.7819419271313364,0.4634363721287655,0.6619757429867605
192,CATSv2_id_3,CATSv2,0.4236098580843257,0.7966564033301543,0.4553823141199462,0.7917141326804915,0.5093946528385375,0.8618571509573041
96,CATSv2_id_4,CATSv2,0.4260241312896199,0.8240856414287304,0.4700091909303233,0.8051882718317812,0.546086123866644,0.7586270700342307
192,CATSv2_id_4,CATSv2,0.4237350195902311,0.8710985992523119,0.4521463924907508,0.8528407147146608,0.5250022547474332,0.747220703480955
96,CATSv2_id_5,CATSv2,0.4476502075927068,0.763883406328683,0.4517394143663849,0.728462297214449,0.5014758669311792,0.74757039621231
192,CATSv2_id_5,CATSv2,0.4548367314999666,0.7603392162317207,0.4562995276053203,0.7222252191884537,0.5026267146781159,0.755449284402398
96,CATSv2_id_6,CATSv2,0.4055523945518492,0.8100238526711077,0.4059213461714024,0.7602826250000001,0.4778686546443932,0.688622754491018
192,CATSv2_id_6,CATSv2,0.4467858435879875,0.8358549876441324,0.4307037027313099,0.7900856237244899,0.5158704641394515,0.6731050629206906
96,CreditCard,CreditCard,0.0382200298062855,0.7261834381797456,0.0050785184313432,0.6205857210076594,0.0245350932283736,0.0288600288600288
192,CreditCard,CreditCard,0.0349931013876269,0.6799664229721537,0.0038114686347259,0.6013498497100934,0.0215443915649135,0.0221975582685904
96,Daphnet,Daphnet,0.1982799145030155,0.8647402481342811,0.178283018442965,0.865343552036877,0.3190970692913946,0.5738332058148432
192,Daphnet,Daphnet,0.144931929075659,0.8093798394292169,0.1278897147247491,0.8082073713403505,0.2719522373428985,0.3790750568612585
96,Exathlon_id_1,Exathlon,0.7958526072365764,0.9838615557172896,0.7910083954307086,0.983466412662628,0.913349100495592,1.0
192,Exathlon_id_1,Exathlon,0.7090792342394198,0.9742799052213392,0.7074576593107271,0.9739210303973864,0.8711577549810001,1.0
96,Exathlon_id_10,Exathlon,0.6920657740793574,0.9831760013151504,0.6752049954507746,0.9826777989907728,0.7902430937107843,0.9910306312404806
