pred_len,backbone,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,status
96,DLinear,CATSv2_id_1,CATSv2,0.0500109091489816,0.4985282792983166,0.0764868586755683,0.4965812295918367,0.1850330572574827,0.2608695652173913,ok
96,DLinear,CATSv2_id_2,CATSv2,0.0316785881667469,0.283674951963243,0.0272189610685578,0.4122464698738982,0.0679862380381108,0.0689885855249404,ok
96,DLinear,CATSv2_id_3,CATSv2,0.0948280001696282,0.5429733914472086,0.1123405610998377,0.6044185561155914,0.1737897875575141,0.2549626661810235,ok
96,DLinear,CATSv2_id_4,CATSv2,0.2780579139126876,0.7420538630097897,0.4073425125692082,0.7930556099812673,0.5186616954181751,0.7150660442943688,ok
96,DLinear,CATSv2_id_5,CATSv2,0.1823055852517242,0.6120789648171897,0.2680340467197463,0.6423674230007782,0.3316752608879712,0.7327886271205071,ok
96,DLinear,CATSv2_id_6,CATSv2,0.2480003752998271,0.7200508909255114,0.3124250659650531,0.695496912627551,0.4640121371334255,0.7025045815516188,ok
96,DLinear,CreditCard,CreditCard,0.049754198818393,0.7977470473172299,0.0041148892264307,0.6332857864480725,0.0165230133968344,0.018758730792257,ok
96,DLinear,Daphnet,Daphnet,0.2960318230364859,0.9075989755845691,0.2669362123264084,0.9045793905403028,0.3912468860865455,0.691085003455425,ok
96,DLinear,Exathlon_id_1,Exathlon,0.951849564061612,0.9972245757144658,0.9455166381642814,0.9968931790342282,0.976043453750742,1.0,ok
96,DLinear,Exathlon_id_10,Exathlon,0.946505557089233,0.9975195031647368,0.9419077875516922,0.997028379263862,0.930860014833465,1.0,ok
96,DLinear,Exathlon_id_11,Exathlon,0.8494069822700793,0.994320690890704,0.8412995506815603,0.9937046464456384,0.91775656976562,1.0,ok
96,DLinear,Exathlon_id_12,Exathlon,0.883990470763797,0.9956126662823528,0.8733797576974113,0.9950397312568008,0.9315558150756734,1.0,ok
96,DLinear,Exathlon_id_13,Exathlon,0.918978983038298,0.9948615860496944,0.8926603472037614,0.9932702718392706,0.9652076912847124,1.0,ok
96,DLinear,Exathlon_id_14,Exathlon,0.8656474559684634,0.9770431532987311,0.8364710367562463,0.9605788011637886,0.8908996013481518,0.9868521503096108,ok
96,DLinear,Exathlon_id_15,Exathlon,0.7502832385065182,0.977420601215144,0.72192775148179,0.9684858161488048,0.8648584018502187,0.5760709010339734,ok
96,DLinear,Exathlon_id_16,Exathlon,0.5656564894075327,0.9749008305510516,0.5712245585691359,0.9747918085584036,0.7638367678412334,0.9794019933554816,ok
96,DLinear,Exathlon_id_17,Exathlon,0.7906795512745657,0.9793788962210442,0.7635419286725548,0.9699742055145064,0.8642103271488597,0.4489737606552693,ok
96,DLinear,Exathlon_id_18,Exathlon,0.9260057154967062,0.9969014567659116,0.9158415851061884,0.9962909095714132,0.9321900493344512,1.0,ok
96,DLinear,Exathlon_id_19,Exathlon,0.8488902917441988,0.9944964907196574,0.8389656500044349,0.993866133651116,0.9276448543815934,1.0,ok
96,DLinear,Exathlon_id_2,Exathlon,0.8442749327961667,0.9756713975134548,0.841197777904423,0.9745902124195424,0.9299845512796614,0.9990766389658357,ok
96,DLinear,Exathlon_id_20,Exathlon,0.8810693981798035,0.9839910516936814,0.8763202825360101,0.9826815576779024,0.9194859934925596,1.0,ok
96,DLinear,Exathlon_id_21,Exathlon,0.7917156442560057,0.9795971922401038,0.7385458656868774,0.9724066490368256,0.8759463227464376,0.9714914474342302,ok
96,DLinear,Exathlon_id_22,Exathlon,0.8640001863216895,0.9900607477381844,0.8377245644796003,0.9884506157869104,0.9449708770869252,1.0,ok
96,DLinear,Exathlon_id_23,Exathlon,0.84390395010745,0.9932660712512426,0.8384743245441192,0.9926671313699588,0.9080996802131942,1.0,ok
96,DLinear,Exathlon_id_24,Exathlon,0.8555231131330717,0.9898384546761309,0.8279529703100772,0.9882264295966868,0.949509571232198,1.0,ok
96,DLinear,Exathlon_id_25,Exathlon,0.7740764831442695,0.9758448629288756,0.738693281754425,0.9663142196664528,0.8428697026811286,0.7688049373480457,ok
96,DLinear,Exathlon_id_26,Exathlon,0.7640969064873461,0.9779858426162154,0.7350717889746998,0.9685284609685452,0.8566723154301858,0.6863388853299167,ok
96,DLinear,Exathlon_id_27,Exathlon,0.7632251315017015,0.9738673379826612,0.7409163617518867,0.9721537544224118,0.8636131780570646,1.0,ok
