pred_len,dataset_key,status,phase,train_sec,infer_sec,score_sec,metric_sec,elapsed_sec,error
12,Exathlon_id_17,ok,done,,,0.0,8.9,9.0,
12,Exathlon_id_18,ok,done,,,0.0,2.1,2.1,
12,Exathlon_id_19,ok,done,,,0.0,2.0,2.0,
12,Exathlon_id_2,ok,done,,,0.0,1.8,1.8,
12,Exathlon_id_20,ok,done,,,0.0,2.1,2.1,
12,Exathlon_id_21,ok,done,,,0.0,3.2,3.2,
12,Exathlon_id_22,ok,done,,,0.0,3.2,3.3,
12,Exathlon_id_23,ok,done,,,0.0,2.0,2.0,
12,Exathlon_id_24,ok,done,,,0.0,3.4,3.4,
12,Exathlon_id_25,ok,done,,,0.0,8.9,8.9,
12,Exathlon_id_26,ok,done,,,0.0,8.8,8.9,
12,Exathlon_id_27,ok,done,,,0.0,3.2,3.2,
12,Exathlon_id_3,ok,done,,,0.0,3.2,3.2,
12,Exathlon_id_4,ok,done,,,0.0,2.0,2.0,
12,Exathlon_id_5,ok,done,,,0.0,9.1,9.2,
12,Exathlon_id_6,ok,done,,,0.0,2.7,2.8,
12,Exathlon_id_7,ok,done,,,0.0,3.1,3.2,
12,Exathlon_id_8,ok,done,,,0.0,1.9,1.9,
12,Exathlon_id_9,ok,done,,,0.0,3.2,3.2,
12,GECCO,ok,done,,,0.0,7.7,7.7,
12,GHL_id_1,ok,done,,,0.0,7.5,7.6,
12,GHL_id_10,ok,done,,,0.0,8.1,8.2,
12,GHL_id_11,ok,done,,,0.0,7.8,8.0,
12,GHL_id_12,ok,done,,,0.0,7.2,7.3,
12,GHL_id_13,ok,done,,,0.0,7.6,7.7,
12,GHL_id_14,ok,done,,,0.0,7.6,7.7,
12,GHL_id_15,ok,done,,,0.0,7.3,7.4,
12,GHL_id_16,ok,done,,,0.0,8.2,8.4,
12,GHL_id_17,ok,done,,,0.0,8.2,8.3,
12,GHL_id_18,ok,done,,,0.0,9.0,9.2,
12,GHL_id_19,ok,done,,,0.0,6.7,6.8,
12,GHL_id_2,ok,done,,,0.0,7.6,7.7,
12,GHL_id_20,ok,done,,,0.0,8.1,8.2,
12,GHL_id_21,ok,done,,,0.0,7.4,7.5,
12,GHL_id_22,ok,done,,,0.0,9.8,9.9,
12,GHL_id_23,ok,done,,,0.0,8.6,8.8,
12,GHL_id_24,ok,done,,,0.0,7.3,7.4,
12,GHL_id_25,ok,done,,,0.0,7.9,8.0,
12,GHL_id_3,ok,done,,,0.0,7.7,7.8,
12,GHL_id_4,ok,done,,,0.0,8.0,8.1,
12,GHL_id_5,ok,done,,,0.0,7.7,7.8,
12,GHL_id_6,ok,done,,,0.0,7.5,7.6,
12,GHL_id_7,ok,done,,,0.0,7.4,7.6,
12,GHL_id_8,ok,done,,,0.0,7.1,7.3,
12,GHL_id_9,ok,done,,,0.0,7.8,7.9,
12,Genesis,ok,done,,,0.0,0.9,0.9,
12,LTDB_id_1,ok,done,,,0.0,15.9,15.9,
12,LTDB_id_2,ok,done,,,0.0,30.1,30.1,
12,LTDB_id_3,ok,done,,,0.0,28.2,28.2,
12,LTDB_id_4,ok,done,,,0.0,20.2,20.2,
12,LTDB_id_5,ok,done,,,0.0,3.7,3.7,
12,MITDB_id_1,ok,done,,,0.0,10.9,10.9,
12,MITDB_id_10,ok,done,,,0.0,6.7,6.7,
12,MITDB_id_11,ok,done,,,0.0,18.9,18.9,
12,MITDB_id_12,ok,done,,,0.0,59.6,59.6,
12,MITDB_id_13,ok,done,,,0.0,30.3,30.3,
12,MITDB_id_2,ok,done,,,0.0,22.3,22.3,
12,MITDB_id_3,ok,done,,,0.0,29.0,29.1,
12,MITDB_id_4,ok,done,,,0.0,16.8,16.8,
12,MITDB_id_5,ok,done,,,0.0,4.6,4.6,
12,MITDB_id_6,ok,done,,,0.0,6.8,6.9,
12,MITDB_id_7,ok,done,,,0.0,8.3,8.3,
12,MITDB_id_8,ok,done,,,0.0,18.7,18.7,
12,MITDB_id_9,ok,done,,,0.0,3.5,3.5,
12,MSL_id_1,ok,done,,,0.0,0.4,0.4,
12,MSL_id_10,ok,done,,,0.0,0.5,0.5,
12,MSL_id_11,ok,done,,,0.0,0.6,0.6,
12,MSL_id_12,ok,done,,,0.0,0.4,0.4,
12,MSL_id_13,ok,done,,,0.0,0.5,0.5,
12,MSL_id_14,ok,done,,,0.0,0.2,0.2,
12,MSL_id_15,ok,done,,,0.0,0.2,0.2,
12,MSL_id_16,ok,done,,,0.0,0.4,0.4,
12,MSL_id_2,ok,done,,,0.0,0.3,0.3,
12,MSL_id_3,ok,done,,,0.0,0.4,0.4,
12,MSL_id_4,ok,done,,,0.0,0.6,0.6,
12,MSL_id_5,ok,done,,,0.0,0.4,0.4,
12,MSL_id_6,ok,done,,,0.0,0.7,0.7,
12,MSL_id_7,ok,done,,,0.0,0.6,0.6,
12,MSL_id_8,ok,done,,,0.0,0.4,0.4,
12,MSL_id_9,ok,done,,,0.0,0.3,0.3,
12,OPPORTUNITY_id_1,ok,done,,,0.0,1.6,1.8,
12,OPPORTUNITY_id_2,ok,done,,,0.0,0.5,0.5,
12,OPPORTUNITY_id_3,ok,done,,,0.0,1.5,1.7,
12,OPPORTUNITY_id_4,ok,done,,,0.0,0.9,0.9,
12,OPPORTUNITY_id_5,ok,done,,,0.0,0.7,0.7,
12,OPPORTUNITY_id_6,ok,done,,,0.0,1.2,1.3,
12,OPPORTUNITY_id_7,ok,done,,,0.0,1.7,1.9,
12,OPPORTUNITY_id_8,ok,done,,,0.0,1.7,1.9,
12,PSM,ok,done,,,0.0,20.1,20.4,
12,SMAP_id_1,ok,done,,,0.0,0.6,0.6,
12,SMAP_id_10,ok,done,,,0.0,0.5,0.5,
