dataset                                             , VUS-PR  , VUS-ROC , AUC-PR  , AUC-ROC , Standard-F1, PA-F1   , MSE                  , MAE
050_GHL_id_19_Sensor_tr_43750_1st_55001             , 0.008081, 0.253443, 0.007104, 0.221743,    0.015324, 0.038934,              0.012221,      0.015946
048_GHL_id_17_Sensor_tr_50000_1st_154001            , 0.020467, 0.242663, 0.019547, 0.210273,    0.041034, 0.295741,              0.012598,      0.015457
047_GHL_id_16_Sensor_tr_50000_1st_77001             , 0.024631, 0.451908, 0.023235, 0.435682,    0.049795, 0.700069,              0.013001,      0.018413
033_GHL_id_2_Sensor_tr_50000_1st_51001              , 0.021207, 0.637425, 0.020775, 0.623861,    0.044508, 0.102420,              0.012972,      0.016109
051_GHL_id_20_Sensor_tr_50000_1st_75110             , 0.014517, 0.637933, 0.014402, 0.627449,    0.029369, 0.046180,              0.011568,      0.014617
049_GHL_id_18_Sensor_tr_50000_1st_109001            , 0.030914, 0.231483, 0.029829, 0.209768,    0.060909, 0.604099,              0.012382,      0.015528
001_Genesis_id_1_Sensor_tr_4055_1st_15538           , 0.203548, 0.984248, 0.058234, 0.917853,    0.156519, 0.444444,              0.275634,      0.199712
052_GHL_id_21_Sensor_tr_50000_1st_98001             , 0.008223, 0.430024, 0.007849, 0.416631,    0.015576, 0.010419,              0.013541,      0.018198
055_GHL_id_24_Sensor_tr_50000_1st_118124            , 0.006112, 0.314016, 0.005984, 0.283964,    0.012738, 0.045135,              0.013761,      0.019406
037_GHL_id_6_Sensor_tr_50000_1st_80001              , 0.016949, 0.544469, 0.016411, 0.530809,    0.035041, 0.069713,              0.013633,      0.018738
034_GHL_id_3_Sensor_tr_50000_1st_122001             , 0.019292, 0.561389, 0.018879, 0.548583,    0.039045, 0.092517,              0.015268,      0.024052
035_GHL_id_4_Sensor_tr_50000_1st_90001              , 0.022267, 0.484223, 0.021666, 0.465350,    0.045607, 0.449323,              0.014709,      0.019885
056_GHL_id_25_Sensor_tr_50000_1st_105568            , 0.029619, 0.600745, 0.028852, 0.588317,    0.063479, 0.435541,              0.012291,      0.015523
036_GHL_id_5_Sensor_tr_50000_1st_67147              , 0.014381, 0.450315, 0.013728, 0.426973,    0.030259, 0.224738,              0.012517,      0.017895
140_CATSv2_id_3_Sensor_tr_28307_1st_28407           , 0.152364, 0.693938, 0.191338, 0.700034,    0.226723, 0.279330,              0.080908,      0.066407
053_GHL_id_22_Sensor_tr_50000_1st_126448            , 0.037350, 0.358660, 0.036554, 0.340182,    0.083578, 0.593330,              0.012405,      0.015339
054_GHL_id_23_Sensor_tr_50000_1st_135001            , 0.027148, 0.555856, 0.026091, 0.542770,    0.059041, 0.421892,              0.012468,      0.017078
038_GHL_id_7_Sensor_tr_50000_1st_100001             , 0.010028, 0.331560, 0.009587, 0.309016,    0.020937, 0.072304,              0.012697,      0.015855
039_GHL_id_8_Sensor_tr_50000_1st_63030              , 0.011630, 0.563238, 0.011478, 0.550174,    0.024246, 0.011612,              0.012833,      0.015909
142_CATSv2_id_5_Sensor_tr_30704_1st_30804           , 0.142544, 0.581320, 0.237090, 0.583440,    0.320355, 0.485094,              0.087284,      0.071291
040_GHL_id_9_Sensor_tr_50000_1st_92001              , 0.012964, 0.390755, 0.012449, 0.368824,    0.026785, 0.249035,              0.012063,      0.012860
083_LTDB_id_5_Medical_tr_15502_1st_15602            , 0.006762, 0.547795, 0.006551, 0.601777,    0.015683, 0.126923,              0.350837,      0.375870
137_CreditCard_id_1_Finance_tr_500_1st_541          , 0.038774, 0.684287, 0.004170, 0.616610,    0.022848, 0.025054,              1.386572,      0.766053
023_MITDB_id_5_Medical_tr_25000_1st_36913           , 0.050306, 0.893681, 0.069926, 0.819250,    0.122355, 1.000000,              0.019738,      0.102940
028_MITDB_id_10_Medical_tr_37500_1st_39948          , 0.046497, 0.816445, 0.100267, 0.745962,    0.190593, 0.666667,              0.032799,      0.133683
002_MSL_id_1_Sensor_tr_500_1st_900                  , 0.035139, 0.870928, 0.010603, 0.677062,    0.032966, 0.087302,              0.192304,      0.076513
011_MSL_id_10_Sensor_tr_1525_1st_4590               , 0.276074, 0.938919, 0.143018, 0.892176,    0.399996, 0.675258,            314.074054,      0.588866
012_MSL_id_11_Sensor_tr_539_1st_940                 , 0.653452, 0.964579, 0.534297, 0.891532,    0.496965, 1.000000,              0.143781,      0.047762
013_MSL_id_12_Sensor_tr_554_1st_1200                , 0.044219, 0.836342, 0.020753, 0.737735,    0.057522, 0.169935,              0.161106,      0.041017
