dataset_id,family,n_channels,n_train_above_floor,vus_pr_raw_max,vus_roc_raw_max,auc_pr_raw_max,auc_roc_raw_max,standard_f1_raw_max,pa_f1_raw_max,vus_pr_raw_mean,vus_roc_raw_mean,auc_pr_raw_mean,auc_roc_raw_mean,standard_f1_raw_mean,pa_f1_raw_mean,vus_pr_raw_median,vus_roc_raw_median,auc_pr_raw_median,auc_roc_raw_median,standard_f1_raw_median,pa_f1_raw_median,vus_pr_z_train_max_nodrop,vus_roc_z_train_max_nodrop,auc_pr_z_train_max_nodrop,auc_roc_z_train_max_nodrop,standard_f1_z_train_max_nodrop,pa_f1_z_train_max_nodrop,vus_pr_z_train_mean_nodrop,vus_roc_z_train_mean_nodrop,auc_pr_z_train_mean_nodrop,auc_roc_z_train_mean_nodrop,standard_f1_z_train_mean_nodrop,pa_f1_z_train_mean_nodrop,vus_pr_z_train_median_nodrop,vus_roc_z_train_median_nodrop,auc_pr_z_train_median_nodrop,auc_roc_z_train_median_nodrop,standard_f1_z_train_median_nodrop,pa_f1_z_train_median_nodrop
SMAP_id_20,SMAP,25,25,0.1396478708193975,0.874028630360929,0.11497913439130598,0.8428158061633372,0.26865270560677124,0.8473804100227791,0.1373476378837665,0.880659996425754,0.11592491768401128,0.8484804260716653,0.2551605355632038,0.7425149700598802,0.09373135674813415,0.8544713374142836,0.0838646065571802,0.8404852763123757,0.17113907551239899,0.779874213836478,0.13939373006583058,0.9045957969391174,0.1215434484345118,0.8921397993600276,0.24179089992984307,0.05868433506862281,0.051803280418313113,0.7310030097635293,0.04760717893030485,0.711154832944161,0.1103499110850471,0.4444444444444444,0.03893201144324822,0.6292564220499665,0.034079524613735535,0.5850233503416069,0.07970712159407072,0.5705521472392638
SMAP_id_23,SMAP,25,25,0.059024065546081986,0.774236543392656,0.04888142221539655,0.7619677803325473,0.18696678540722902,0.24260355029585798,0.059024065546081986,0.774236543392656,0.04888142221539655,0.7620860719064906,0.18696678540722902,0.24260355029585798,0.008457830426596138,0.30656354738014796,0.008132801516282855,0.2951596566587066,0.024346552847442623,0.05799151343705799,0.059068668285887874,0.7773547712003552,0.04892746988204068,0.765693964911762,0.18696678540722902,0.24260355029585798,0.0590978885909816,0.7795429842430733,0.04895763679272937,0.7680597963906285,0.18696678540722902,0.24260355029585798,0.008457830426596138,0.30656354738014796,0.008132801516282855,0.2951596566587066,0.024346552847442623,0.05799151343705799
SMAP_id_21,SMAP,25,25,0.007150174525806505,0.24689779092610595,0.005250865353078916,0.19364412431639322,0.018825111032215132,0.023351648351648352,0.00797570025223548,0.32043390783194403,0.005760416652031428,0.2641123115913032,0.020306388685318446,0.028499580888516344,0.008662539775385041,0.4236636616073623,0.005218441348673712,0.23881552621048419,0.01724703902707167,0.017054004347099146,0.11701309550720787,0.909407034515122,0.032034315222130356,0.7239429104975323,0.1018047051441819,0.4063745019920319,0.1004175286945825,0.9074013606447915,0.028712888241287836,0.7193110577564359,0.09841121045333669,0.3709090909090909,0.010156246110822593,0.4918015799320095,0.005540390488056046,0.2804855275443511,0.01830477567864746,0.05564648117839607
SMAP_id_22,SMAP,25,25,0.1313224561290012,0.7044261466492249,0.12411008694794765,0.6810156395444615,0.21720650421027882,0.9665653495440729,0.10311288585666861,0.596729441774324,0.09263849368990515,0.5591947449416246,0.17514662116820193,0.9639468690702088,0.17534702341366035,0.6992128613943264,0.12603598532058913,0.6587935438160382,0.34561508077635467,0.5227397260273973,0.5853822762919754,0.8050680538223797,0.630526371962335,0.7726647496159426,0.722007965030865,0.9685279187817258,0.5968151439174906,0.7727228188519683,0.6244557322545143,0.7367840023143901,0.722007965030865,0.9685279187817258,0.13474025936592263,0.6747939379526056,0.12179207951872383,0.6357705191171567,0.20791767158269053,0.9873663751214772
SMAP_id_24,SMAP,25,25,0.16057943796143448,0.9541409457239626,0.07044189628967691,0.8934504711174336,0.18181332938162434,0.8723404255319149,0.1879290252532599,0.9690596109404207,0.07314479719728947,0.9291076711440083,0.1730721469513293,0.9534883720930233,0.25597792133290914,0.9596677916361643,0.06396031555678035,0.7919618885341233,0.21145078464815764,0.8367346938775511,0.2296487541019482,0.974793658174281,0.10528155699452389,0.9313977981952548,0.23187923555502868,0.9425287356321839,0.22231600764513068,0.966591021429078,0.0963551307803194,0.9001020005393132,0.23187923555502868,0.9425287356321839,0.1616044283337828,0.9616533789922806,0.06821930723468385,0.8903357420050727,0.15651715098515856,0.9010989010989011
SMAP_id_26,SMAP,25,25,0.10280759769851792,0.7738568439956636,0.03349711088556895,0.6603946372880104,0.17318085631746874,0.44751381215469616,0.10280759769851792,0.7722142155028864,0.033497110885568955,0.6571075310487369,0.17318085631746874,0.44751381215469616,0.08136068492264037,0.6882242487041678,0.02639021821793064,0.5394821827308125,0.14234465127517676,0.7751196172248804,0.10287910458223974,0.7754280564409786,0.033568809416599205,0.6628167155695806,0.17318085631746874,0.44751381215469616,0.102822827376542,0.7725509038840249,0.03351238138101713,0.6576265478233589,0.17318085631746874,0.44751381215469616,0.08136068492264037,0.6882242487041678,0.02639021821793064,0.5394821827308125,0.14234465127517676,0.7751196172248804
MITDB_id_11,MITDB,2,2,0.2398893653704389,0.893848095360672,0.2318371830214881,0.8675029785681714,0.5007392779877157,0.9176717357105402,0.236245056047066,0.8915110363021481,0.22831112523128722,0.865039684189955,0.49646973963224134,0.9176717357105402,0.236245056047066,0.8915110363021481,0.22831112523128722,0.865039684189955,0.49646973963224134,0.9176717357105402,0.24877198763169314,0.8958724229098524,0.239426531097519,0.869926504853104,0.5016140803015123,0.9176717357105402,0.24457146678957456,0.8958227613593512,0.23513001769370517,0.8695086256269949,0.49940952297970165,0.9176717357105402,0.24457146678957456,0.8958227613593512,0.23513001769370517,0.8695086256269949,0.49940952297970165,0.9176717357105402
SMAP_id_25,SMAP,25,25,0.33768829854075333,0.9150603106655406,0.17777247632257745,0.7874406991048793,0.3417429802483519,0.6870748299319728,0.3376880886570438,0.9150582301744725,0.17777260828647526,0.7874423982709287,0.3417429802483519,0.6870748299319728,0.04660380069606298,0.5148859767537997,0.030107229057194207,0.48013292576003697,0.07092893301726468,0.33835845896147404,0.33768662836054647,0.9152795240548147,0.17794108494926458,0.7927471946768526,0.3417429802483519,0.6870748299319728,0.340766494970902,0.927878013337161,0.18175473154540764,0.8176680135389551,0.3424078548361899,0.6870748299319728,0.04660380069606298,0.5148859767537997,0.030107229057194207,0.48013292576003697,0.07092893301726468,0.33835845896147404
SMAP_id_27,SMAP,25,25,0.01844344981812332,0.6382528054400519,0.014586365065387574,0.5768642781584878,0.03617177955565198,0.5059523809523809,0.015529060121620954,0.5854027758284212,0.013302220153439931,0.5538996458630364,0.03806033818606542,0.2135678391959799,0.026286156296189855,0.7212547355208415,0.018372001686653174,0.6167299820631926,0.06507934443881588,0.15813953488372093,0.07403878243830574,0.7451635311723723,0.02409472601963291,0.5755930644345306,0.08207043659983182,0.8994708994708994,0.059471584425928356,0.6055514498167597,0.01819740162691629,0.40587039506967765,0.07212874907196175,0.8808290155440415,0.009101985321469868,0.254287314132049,0.00774770063504824,0.2154348525962379,0.02623835812924544,0.03216042376087779
SMAP_id_3,SMAP,25,25,0.12638411469684013,0.8237926383875245,0.11725013044244931,0.787471929966135,0.24908621101587572,0.8954128440366973,0.11007983980716267,0.8147617717015485,0.10147637674459625,0.7950056905297898,0.21629676687136867,0.8652482269503546,0.19171075736855087,0.8521973728710808,0.1284593124054589,0.8401353483466855,0.34339052138236303,0.3505747126436782,0.7298087595629995,0.9638020644169775,0.8114089853766614,0.9447459296711738,0.8745469877983394,0.9053803339517625,0.7316536605294051,0.9686518455728512,0.8230353923069165,0.958634718075293,0.8709627584077754,0.9053803339517625,0.14665989709151475,0.8334990353734429,0.1418234082339454,0.8151721489610957,0.22300805129249957,0.9424920127795527
