dataset_id,n_train_baseline_rows,n_channels_used,sliding_window,VUS_PR_max,VUS_PR_median,VUS_PR_mean,VUS_ROC_max,VUS_ROC_median,VUS_ROC_mean,AUC_PR_max,AUC_PR_median,AUC_PR_mean,AUC_ROC_max,AUC_ROC_median,AUC_ROC_mean,Standard_F1_max,Standard_F1_median,Standard_F1_mean,PA_F1_max,PA_F1_median,PA_F1_mean,err_max,err_median,err_mean,status,error
Daphnet,6498,9,58,0.19827991450301555,0.23232897349608117,0.19303004835225693,0.8647402481342811,0.8877445811447817,0.8581152884946964,0.17828301844296504,0.20608639706051307,0.1706488062230377,0.865343552036877,0.8860493216212749,0.8594447022474814,0.31909706929139464,0.36029276024052675,0.3160777575632445,0.5738332058148432,0.5715374357020385,0.5196604884808592,,,,ok,
Exathlon_id_1,7249,18,30,0.7958526072365764,0.9124478450087609,0.8368071123669177,0.9838615557172895,0.9934309465997877,0.9885050636682072,0.7910083954307086,0.9084331735573445,0.8309126957963722,0.9834664126626279,0.9931249144717661,0.9881663750110201,0.9133491004955921,0.9622004301016014,0.9457854965293749,1.0,1.0,1.0,,,,ok,
CATSv2_id_1,11310,17,97,0.1969160903936257,0.022502978274463646,0.1225274174829472,0.7647715536824577,0.5511119080927319,0.73214228530899,0.18592163660312122,0.020592087768167334,0.11780903225383511,0.7438589387755102,0.5328403163265306,0.7080780969387755,0.31825236432764203,0.0434788287227664,0.2308602649063716,0.2608695652173913,0.4243710215216732,0.6029544769369912,,,,ok,
Exathlon_id_10,7878,18,27,0.6920657740793574,0.8696015296912067,0.7186951490143312,0.9831760013151503,0.9946550879084846,0.9851845818857503,0.6752049954507746,0.8541122067764267,0.7040430228175574,0.9826777989907729,0.9942342632522283,0.9846894697409306,0.7902430937107843,0.9182619667207735,0.8129038692942949,0.9910306312404806,0.9982952608250938,0.9908629441624366,,,,ok,
Exathlon_id_11,7878,18,27,0.6979049237024545,0.88435378430878,0.7303077111410381,0.9825962624901651,0.9950534314848961,0.9847006231581864,0.6932587187942124,0.8775394316473124,0.7245258628229523,0.9821054323552448,0.9946512341814698,0.9842097329411782,0.7895048300797791,0.9186993752413035,0.8152799798731382,1.0,1.0,1.0,,,,ok,
Exathlon_id_12,7878,18,27,0.6952525664245134,0.8741202150756886,0.7251781701233495,0.9821957329680222,0.9947601159780327,0.9842131009909844,0.6910677589493888,0.865608462686426,0.7221280215157031,0.9817434020629376,0.99433759225966,0.9837453107951611,0.7895048300797791,0.9201858028451215,0.8125564949240682,1.0,1.0,1.0,,,,ok,
Exathlon_id_13,7249,31,125,0.7649425580829423,0.8983455330896486,0.7758369904260324,0.9828228179352202,0.9928063565061417,0.9832634251150414,0.7394182092352912,0.8761095211394411,0.7559301948117302,0.9812041635323931,0.9913428185314848,0.9816748538421245,0.8821098803188427,0.947493247087251,0.8833612001919487,0.9912488605287146,1.0,0.9996322853465711,,,,ok,
CATSv2_id_4,28921,17,73,0.42602413128961997,0.040150773637775326,0.37745853501425886,0.8240856414287304,0.5819510639994893,0.7962067856260518,0.47000919093032334,0.038205291793247026,0.44318664840931843,0.8051882718317812,0.5660450761412221,0.7791751230180427,0.546086123866644,0.07499622463706608,0.5227224672900499,0.7586270700342307,0.6019110676397562,0.7377417903733693,,,,ok,
Exathlon_id_14,4048,16,125,0.8271594022322477,0.7594494000478541,0.8274508473075275,0.9782348846694517,0.972764866916676,0.9776006773626756,0.7706308843439198,0.7134113066191585,0.7706580511421948,0.9654638494586146,0.9597253925606546,0.9636046438718482,0.8879890930187716,0.877193572891689,0.8880258978617782,0.9630794701986755,0.9857651245551602,0.9630794701986755,,,,ok,
CATSv2_id_2,3627,17,125,0.1702020554737903,0.05056963493315157,0.16363062312035914,0.776559598205372,0.6257125066460597,0.7517383864062107,0.226081937303032,0.048493822840021156,0.21154358552799918,0.7754723890979861,0.6066751306858393,0.7511492540854403,0.26789317519867867,0.08997899385876275,0.26573994198572687,0.7258430364433691,0.6893382352941176,0.7585335018963337,,,,ok,
